campaign_id,campaign_name,campaign_type,target_audience,month,budget,spend,impressions,clicks,leads,conversions,revenue
C089,Email Campaign 89,Email,55+,2024-07,21177,19137,50199,4026,454,133,25897
C090,Display Campaign 90,Display,35-44,2024-07,20431,16809,66501,5967,283,27,31131
C091,Search Campaign 91,Search,45-54,2024-03,11010,10061,70313,5789,350,52,10864
C092,Email Campaign 92,Email,18-24,2024-11,18424,15427,78634,7371,1409,522,12843
C093,Search Campaign 93,Search,55+,2024-11,17046,15123,123916,5427,1154,177,56378
C094,Search Campaign 94,Search,45-54,2024-10,15267,13877,45601,4160,929,242,23056
C095,Influencer Campaign 95,Influencer,45-54,2024-10,22522,18445,127096,10270,3820,406,56706
C096,Display Campaign 96,Display,25-34,2024-02,14319,12352,109875,7342,1307,66,52209
C097,Search Campaign 97,Search,18-24,2024-09,17078,16546,10086,315,36,14,71152
C098,Search Campaign 98,Search,25-34,2024-05,3662,3038,25773,377,71,7,5179
C099,Influencer Campaign 99,Influencer,25-34,2024-04,19943,18413,58209,3978,561,248,45232
C100,Social Media Campaign 100,Social Media,35-44,2024-06,10991,8982,128452,1915,191,79,47504
C101,Search Campaign 101,Search,45-54,2024-05,15084,12493,133425,5676,1255,665,38184
C102,Display Campaign 102,Display,18-24,2024-08,3939,3185,33640,1559,130,8,16799
C103,Social Media Campaign 103,Social Media,18-24,2024-03,15211,12664,98890,11244,2228,660,64755
C104,Social Media Campaign 104,Social Media,45-54,2024-03,22760,21404,90928,9023,342,27,84349
C105,Email Campaign 105,Email,18-24,2024-11,9625,7465,111912,5456,924,444,14589
C106,Search Campaign 106,Search,55+,2024-05,21422,18021,11897,898,180,29,46352
C107,Display Campaign 107,Display,25-34,2024-03,21980,20449,16002,1544,83,14,19525
C108,Social Media Campaign 108,Social Media,45-54,2024-03,4957,3874,102782,9675,2140,511,8835
C109,Search Campaign 109,Search,18-24,2024-04,11301,9598,39623,887,306,50,7724
C110,Influencer Campaign 110,Influencer,25-34,2024-06,19044,15967,46630,5246,973,224,82544
C111,Influencer Campaign 111,Influencer,45-54,2024-05,16642,16168,61534,3856,484,149,52341
C112,Search Campaign 112,Search,35-44,2024-08,9724,7518,19986,915,36,8,15627
C113,Display Campaign 113,Display,18-24,2024-02,5853,4618,75226,1635,146,14,5189
C114,Email Campaign 114,Email,35-44,2024-06,15277,12070,111032,10022,404,114,19850
C115,Search Campaign 115,Search,55+,2024-08,13506,12998,102923,3052,656,342,60534
C116,Influencer Campaign 116,Influencer,18-24,2024-11,10091,9127,21675,2310,584,166,39423
C117,Search Campaign 117,Search,55+,2024-08,6627,5382,119136,12407,1751,131,5158
C118,Display Campaign 118,Display,18-24,2024-03,9611,7496,121706,14014,654,306,38050
C119,Social Media Campaign 119,Social Media,18-24,2024-04,9844,9269,14731,1586,651,230,36966
C120,Display Campaign 120,Display,55+,2024-05,21918,21338,146058,14660,1084,578,94345
C121,Display Campaign 121,Display,55+,2024-06,18670,17226,144179,3762,296,22,84083
C122,Email Campaign 122,Email,25-34,2024-10,10716,10215,148446,4307,1092,434,44682
C123,Social Media Campaign 123,Social Media,18-24,2024-05,15620,12382,104699,10003,448,23,44841
C124,Influencer Campaign 124,Influencer,35-44,2024-06,7347,7114,136442,5917,2349,953,37679
C125,Social Media Campaign 125,Social Media,35-44,2024-11,10947,8738,82927,4755,929,317,27818
C126,Email Campaign 126,Email,45-54,2024-12,21753,16941,82934,4412,960,182,30675
C127,Influencer Campaign 127,Influencer,35-44,2024-01,20097,17196,14614,946,27,11,74642
C128,Influencer Campaign 128,Influencer,55+,2024-05,21399,16493,112007,12671,4223,749,54829
C129,Search Campaign 129,Search,25-34,2024-01,19770,15296,37427,3754,644,345,48591
C130,Display Campaign 130,Display,55+,2024-09,18936,18533,31976,2063,612,305,66790
C131,Search Campaign 131,Search,35-44,2024-06,6368,5786,16493,1517,142,25,24932
C132,Social Media Campaign 132,Social Media,55+,2024-04,10497,9240,21637,1465,243,102,42956
C133,Display Campaign 133,Display,35-44,2024-12,4870,3850,32724,542,117,16,12722
C134,Influencer Campaign 134,Influencer,25-34,2024-04,21646,18363,88188,1942,105,9,86173
C135,Display Campaign 135,Display,25-34,2024-04,19535,18824,28099,1835,272,136,40925
C136,Search Campaign 136,Search,55+,2024-12,13820,12230,95500,2998,938,74,52509
C137,Search Campaign 137,Search,45-54,2024-08,18791,15185,107982,11576,3129,723,17529
C138,Influencer Campaign 138,Influencer,18-24,2024-04,19081,16592,15629,1105,367,114,54719
C139,Search Campaign 139,Search,18-24,2024-08,22342,21193,117571,8062,95,17,39366
C140,Search Campaign 140,Search,55+,2024-11,15727,12415,68812,2765,804,337,58903
C141,Social Media Campaign 141,Social Media,18-24,2024-10,21758,19487,18367,1745,222,57,66489
C142,Search Campaign 142,Search,18-24,2024-06,20586,16960,80665,6170,520,131,51238
C143,Display Campaign 143,Display,35-44,2024-10,15803,15213,51230,428,38,6,49561
C144,Social Media Campaign 144,Social Media,55+,2024-05,18177,13784,21877,2135,210,25,66806
C145,Display Campaign 145,Display,35-44,2024-01,9330,8439,135667,9527,3267,74,14751
C146,Email Campaign 146,Email,45-54,2024-09,8032,6424,134563,5610,500,247,20238
C147,Display Campaign 147,Display,55+,2024-12,23437,22805,25326,2364,336,105,42804
C148,Search Campaign 148,Search,35-44,2024-12,7469,6701,15572,727,162,49,20138
C149,Search Campaign 149,Search,45-54,2024-08,21560,20434,91400,1777,548,260,103043
C150,Email Campaign 150,Email,35-44,2024-04,24159,22630,93509,380,20,11,91406
C151,Display Campaign 151,Display,55+,2024-01,14202,12355,109399,11980,3060,474,54464
C152,Email Campaign 152,Email,35-44,2024-10,8377,7471,47025,1086,434,14,25134
C153,Display Campaign 153,Display,18-24,2024-06,12473,11900,48853,838,145,11,25540
C154,Influencer Campaign 154,Influencer,18-24,2024-10,17320,15068,88963,8469,422,228,44801
C155,Search Campaign 155,Search,25-34,2024-06,6353,5241,143522,8685,3639,1727,14782
C156,Search Campaign 156,Search,55+,2024-08,9126,7566,80620,8147,3553,1293,10360
C157,Email Campaign 157,Email,25-34,2024-10,4303,3294,69965,5842,2115,921,10771
C158,Influencer Campaign 158,Influencer,45-54,2024-12,17603,13914,140678,11236,2548,924,67846
C159,Email Campaign 159,Email,55+,2024-01,14117,11867,72942,5116,1266,97,59763
C160,Influencer Campaign 160,Influencer,18-24,2024-02,13703,12787,98943,9659,1618,190,23900
C161,Display Campaign 161,Display,25-34,2024-04,4580,4050,10834,864,35,11,11758
C162,Social Media Campaign 162,Social Media,25-34,2024-09,10328,9594,74987,4687,977,114,22852
C163,Email Campaign 163,Email,18-24,2024-12,5688,4364,22606,1831,206,33,14576
C164,Email Campaign 164,Email,55+,2024-12,11185,9287,116884,2251,282,108,16296
C165,Social Media Campaign 165,Social Media,45-54,2024-08,11547,9586,146334,7408,3014,1002,39137
C166,Influencer Campaign 166,Influencer,25-34,2024-06,10068,8892,119610,11073,2185,905,28922
C167,Social Media Campaign 167,Social Media,35-44,2024-06,9655,7819,85443,1783,324,17,17124
C168,Display Campaign 168,Display,55+,2024-04,17703,16810,42095,3484,380,105,21071
C169,Display Campaign 169,Display,55+,2024-08,10587,8071,139410,7328,161,18,8679
C170,Display Campaign 170,Display,55+,2024-04,22435,18412,77920,5636,2402,810,25105
C171,Email Campaign 171,Email,45-54,2024-03,9681,8495,11502,498,161,73,41179
C172,Influencer Campaign 172,Influencer,25-34,2024-12,14299,11218,58635,6976,3127,1571,59703
C173,Social Media Campaign 173,Social Media,35-44,2024-05,6764,5174,149181,12130,5229,1208,14000
C174,Search Campaign 174,Search,35-44,2024-05,15576,12648,149501,3033,1193,418,48412
C175,Social Media Campaign 175,Social Media,55+,2024-01,19355,18284,37458,3105,304,52,86186
C176,Display Campaign 176,Display,45-54,2024-06,5154,4339,135992,7944,1588,333,12665
C177,Display Campaign 177,Display,25-34,2024-10,18819,15243,41584,4980,653,257,73438
C178,Social Media Campaign 178,Social Media,25-34,2024-08,20619,17299,13749,1421,336,15,13849
C179,Email Campaign 179,Email,55+,2024-01,4711,3994,91142,9962,2699,1352,10403
C180,Influencer Campaign 180,Influencer,25-34,2024-08,7088,6016,65819,7050,558,35,27091
C181,Email Campaign 181,Email,35-44,2024-01,5447,4146,55836,462,122,41,4596
C182,Search Campaign 182,Search,25-34,2024-11,14662,13229,82886,9822,1009,533,26471
C183,Email Campaign 183,Email,18-24,2024-06,24945,19501,11919,1115,263,144,32228
C184,Email Campaign 184,Email,18-24,2024-01,15862,12879,54113,6306,334,122,34015
C185,Social Media Campaign 185,Social Media,35-44,2024-01,8530,6990,111928,13003,487,34,36503
C186,Influencer Campaign 186,Influencer,55+,2024-12,6765,6386,92392,10617,102,7,9710
C187,Social Media Campaign 187,Social Media,35-44,2024-03,15258,11691,45529,3274,1466,285,61403
C188,Influencer Campaign 188,Influencer,25-34,2024-05,18881,17385,142464,659,85,40,26530
C189,Social Media Campaign 189,Social Media,35-44,2024-01,15905,13972,55141,4591,791,207,36719
C190,Email Campaign 190,Email,25-34,2024-05,17238,15020,145785,3335,519,184,40379
C191,Email Campaign 191,Email,18-24,2024-05,10466,9643,72508,6648,2497,1254,29434
C192,Influencer Campaign 192,Influencer,45-54,2024-01,19539,18242,90537,3612,1458,46,24375
C193,Search Campaign 193,Search,18-24,2024-09,13424,10092,64081,2250,437,53,29727
C194,Email Campaign 194,Email,25-34,2024-07,6088,5892,59208,4175,729,129,22501
C195,Social Media Campaign 195,Social Media,55+,2024-07,10792,9805,45110,385,92,36,38929
C196,Social Media Campaign 196,Social Media,18-24,2024-10,10904,9848,15675,1326,264,106,19270
C197,Email Campaign 197,Email,45-54,2024-04,20398,17479,38922,2074,751,388,58037
C198,Display Campaign 198,Display,18-24,2024-07,9747,8577,103409,7651,479,49,41468
C199,Social Media Campaign 199,Social Media,35-44,2024-01,17647,15049,70842,7017,1043,455,41689
C200,Email Campaign 200,Email,35-44,2024-09,5268,4112,27258,3207,1391,618,6012
